name,author,price
Captive Tome 2,Sarah Rivens,"20,90 €"
Le suppléant,Prince Harry,"26,50 €"
A tout jamais,Colleen Hoover,"18,50 €"
Les années glorieuses Le Grand Monde,Pierre Lemaitre,"10,40 €"
Les années glorieuses Le silence et la colère,Pierre Lemaitre,"23,90 €"
Coeurs et âmes,Colleen Hoover,"7,90 €"
Les douleurs fantômes,Mélissa Da Costa,"9,70 €"
Plus jamais sans moi,Maud Ankaoua,"18,90 €"
Just wanna be your brother. Exemplaire dédicacé,Nine Gorman,"18,90 €"
Jujutsu Kaisen Tome 18La passion. Pack avec un extrait gratuit de Valhallian the Black Iron,Gege Akutami,"6,95 €"
One Piece Episode A Tome 1Ace,Boichi,"6,99 €"
Pour rien au monde,Ken Follett,"11,90 €"
La Plus Secrète Mémoire des hommes,Mohamed Mbougar Sarr,"9,70 €"
Tokyo Revengers Tome 22,Ken Wakui,"6,99 €"
Numéro deux,David Foenkinos,"8,70 €"
Le cas Malaussène Tome 2Terminus Malaussène,Daniel Pennac,"23,00 €"
Astérix. L'Empire du Milieu,Olivier Gay,"10,50 €"
La décision,Karine Tuil,"8,70 €"
PILLY étudiant. Maladies infectieuses & tropicales Edition 2023,CMIT,"45,00 €"
Traité sur l'intolérance,Richard Malka,"12,50 €"
Just wanna be your brother,Nine Gorman,"18,90 €"
Premier sang,Amélie Nothomb,"7,70 €"
Les fossoyeurs édition revue et augmentée,Victor Castanet,"9,50 €"
Le cas Malaussène Tome 1Ils m'ont menti,Daniel Pennac,"9,20 €"
La toute petite reine,Agnès Ledig,"8,90 €"
Verity,Colleen Hoover,"7,90 €"
Retrouve-moi,Lisa Gardner,"9,70 €"
Les promises,Jean-Christophe Grangé,"10,90 €"
Ceci n'est pas un fait divers,Philippe Besson,"20,00 €"
Azincourt par temps de pluie,Jean Teulé,"7,80 €"
Adieu Eri,Tatsuki Fujimoto,"7,29 €"
La saga d'Auren Tome 1Gild,Raven Kennedy,"19,95 €"
682 jours,Roselyne Bachelot,"20,90 €"
Blue Lock Tome 12,Muneyuki Kaneshiro,"7,20 €"
Blizzard,Marie Vingtras,"7,50 €"
Crépuscule,Philippe Claudel,"23,00 €"
Dragon Ball Super Tome 19La fierté d'un peuple,Akira Toriyama,"6,99 €"
Dandadan Tome 4,Yukinobu Tatsu,"7,29 €"
All your perfects,Colleen Hoover,"7,90 €"
Ici et ailleurs,Florence Aubenas,"21,50 €"
Un abri de fortune,Agnès Ledig,"21,90 €"
Paris-Briançon,Philippe Besson,"8,00 €"
Les sources,Marie-Hélène Lafon,"16,50 €"
Mashle Tome 12Mash Burnedead et les quintuplés de l'enfer,Hajime Komoto,"6,99 €"
Leur domaine,Jo Nesbo,"10,20 €"
Ton absence n'est que ténèbres,Jón Kalman Stefansson,"9,70 €"
Les soeurs d'Auschwitz,Heather Morris,"8,80 €"
Après,Stephen King,"8,90 €"
Au premier regard,Lisa Gardner,"22,90 €"
Harlem shuffle,Colson Whitehead,"22,90 €"
Les Carnets de l'Apothicaire Tome 10,Itsuki Nanao,"7,95 €"
La mâchoire de Caïn,Torquemada,"14,90 €"
Le bureau d'éclaircissement des destins,Gaëlle Nohant,"23,00 €"
A l'aube de nouveaux horizons,Nathalie A. Cabrol,"21,00 €"
Enfant de salaud,Sorj Chalandon,"8,70 €"
Une vie heureuse,Ginette Kolinka,"14,00 €"
Neon Genesis Evangelion Tome 4Perfect Edition,Yoshiyuki Sadamoto,"14,95 €"
Set et match !,Liane Moriarty,"9,90 €"
"Covid 19, ce que révèlent les chiffres officiels",Pierre Chaillot,"22,00 €"
Kaamelott Tome 10Karadoc et l'Icosaèdre,Alexandre Astier,"14,50 €"
Inheritance Games Tome 3,Jennifer Lynn Barnes,"18,90 €"
Le quatuor des Smythe-Smith Tomes 1 & 2Un goût de paradis ; Sortilège d'une nuit d'été,Julia Quinn,"15,90 €"
Le livre de la nuit Edition collector,Holly Black,"24,90 €"
Demon Slayer Tome 1Packe en 2 volumes : Tome 2 offert,Koyoharu Gotouge,"7,29 €"
"Dix âmes, pas plus",Ragnar Jónasson,"8,50 €"
Fille en colère sur un banc de pierre,Véronique Ovaldé,"21,00 €"
Dr Stone Tome 23Future engine,Riichiro Inagaki,"6,99 €"
Les royaumes de feu Tome 15Les flammes de l'espoir,Tui-T Sutherland,"17,00 €"
"Ecoute ton corps, encore!",Lise Bourbeau,"8,90 €"
Anatole Latuile Tome 16Des bêtes et des bêtises,Anne Didier,"11,50 €"
Inconsolable,Adèle Van Reeth,"18,00 €"
Sakamoto Days Tome 6Pas de bol,Yuto Suzuki,"6,99 €"
Mes fragiles,Jérôme Garcin,"14,00 €"
Thorgal Saga Adieu Aaricia,Robin Recht,"23,50 €"
